date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:53	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Jan%202019%2010:55:52%20GMT	https://introcomputing.org/robots.txt		(from )
18:55:53	4150/4150	---MCZ	200	added ('OK')	text/html	etag:W/%225000a10e-1036%22	https://introcomputing.org/	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/index.html	(from )
18:55:54	2261/2261	---M--	200	added ('OK')	text/css	etag:%224f4eb290-8d5%22	https://introcomputing.org/style.css	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/style.css	(from https://introcomputing.org/)
18:55:54	1320/1320	---MCZ	200	added ('OK')	text/html	etag:W/%224ffe05f3-528%22	https://introcomputing.org/image-browser-test.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-browser-test.html	(from https://introcomputing.org/)
18:55:54	17319/17319	---MCZ	200	added ('OK')	text/html	etag:W/%224fff03d5-43a7%22	https://introcomputing.org/code-1-introduction.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/code-1-introduction.html	(from https://introcomputing.org/)
18:55:55	1599/1599	---MCZ	200	added ('OK')	text/html	etag:W/%224fff02bb-63f%22	https://introcomputing.org/code-1-exercises.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/code-1-exercises.html	(from https://introcomputing.org/)
18:55:55	3456/3456	---MCZ	200	added ('OK')	text/html	etag:W/%224ffe5a9a-d80%22	https://introcomputing.org/code-2-variable.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/code-2-variable.html	(from https://introcomputing.org/)
18:55:56	1673/1673	---MCZ	200	added ('OK')	text/html	etag:W/%224ffb38d8-689%22	https://introcomputing.org/code-2-exercises.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/code-2-exercises.html	(from https://introcomputing.org/)
18:55:56	8128/8128	---MCZ	200	added ('OK')	text/html	etag:W/%224fff00b6-1fc0%22	https://introcomputing.org/image-1-introduction.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-1-introduction.html	(from https://introcomputing.org/)
18:55:56	3534/3534	---MCZ	200	added ('OK')	text/html	etag:W/%224f357725-dce%22	https://introcomputing.org/image-rgb-explorer.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-rgb-explorer.html	(from https://introcomputing.org/)
18:55:57	7865/7865	---MCZ	200	added ('OK')	text/html	etag:W/%224ffdf75a-1eb9%22	https://introcomputing.org/image-2-code.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-2-code.html	(from https://introcomputing.org/)
18:55:57	2638/2638	---MCZ	200	added ('OK')	text/html	etag:W/%224ffdf8fb-a4e%22	https://introcomputing.org/image-2-exercises.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-2-exercises.html	(from https://introcomputing.org/)
18:55:58	7946/7946	---MCZ	200	added ('OK')	text/html	etag:W/%224ffdf761-1f0a%22	https://introcomputing.org/image-3-loops.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-3-loops.html	(from https://introcomputing.org/)
18:55:58	1908/1908	---MCZ	200	added ('OK')	text/html	etag:W/%224ffdf8f8-774%22	https://introcomputing.org/image-3-exercises.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-3-exercises.html	(from https://introcomputing.org/)
18:55:59	10523/10523	---MCZ	200	added ('OK')	text/html	etag:W/%224ffdf85e-291b%22	https://introcomputing.org/image-4-expressions.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-4-expressions.html	(from https://introcomputing.org/)
18:56:00	3378/3378	---MCZ	200	added ('OK')	text/html	etag:W/%224ffdf8f5-d32%22	https://introcomputing.org/image-4-exercises.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-4-exercises.html	(from https://introcomputing.org/)
18:56:00	2652/2652	---MCZ	200	added ('OK')	text/html	etag:W/%224ffdf866-a5c%22	https://introcomputing.org/image-5-puzzles.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-5-puzzles.html	(from https://introcomputing.org/)
18:56:00	3180/3180	---MCZ	200	added ('OK')	text/html	etag:W/%224ffdf8f1-c6c%22	https://introcomputing.org/image-5-exercises.html	D:/My%20Web%20Sites/IntroComputing.org/introcomputing.org/image-5-exercises.html	(from https://introcomputing.org/)
